Standard time,Weekend,Floating holiday,Easter,Births
1977.0000000000,1.0000000000,0.0000000000,0.0000000000,208.0000000000
1977.0027379847,1.0000000000,0.0000000000,0.0000000000,241.0000000000
1977.0054759694,0.0000000000,0.0000000000,0.0000000000,274.0000000000
1977.0082139540,0.0000000000,0.0000000000,0.0000000000,256.0000000000
1977.0109519387,0.0000000000,0.0000000000,0.0000000000,294.0000000000
1977.0136899234,0.0000000000,0.0000000000,0.0000000000,281.0000000000
1977.0164279081,0.0000000000,0.0000000000,0.0000000000,251.0000000000
1977.0191658928,1.0000000000,0.0000000000,0.0000000000,230.0000000000
1977.0219038774,1.0000000000,0.0000000000,0.0000000000,240.0000000000
1977.0246418621,0.0000000000,0.0000000000,0.0000000000,249.0000000000
1977.0273798468,0.0000000000,0.0000000000,0.0000000000,272.0000000000
1977.0301178315,0.0000000000,0.0000000000,0.0000000000,270.0000000000
1977.0328558162,0.0000000000,0.0000000000,0.0000000000,281.0000000000
1977.0355938008,0.0000000000,0.0000000000,0.0000000000,295.0000000000
1977.0383317855,1.0000000000,0.0000000000,0.0000000000,213.0000000000
1977.0410697702,1.0000000000,0.0000000000,0.0000000000,205.0000000000
1977.0438077549,0.0000000000,0.0000000000,0.0000000000,263.0000000000
1977.0465457396,0.0000000000,0.0000000000,0.0000000000,270.0000000000
1977.0492837242,0.0000000000,0.0000000000,0.0000000000,266.0000000000
1977.0520217089,0.0000000000,0.0000000000,0.0000000000,312.0000000000
1977.0547596936,0.0000000000,0.0000000000,0.0000000000,294.0000000000
1977.0574976783,1.0000000000,0.0000000000,0.0000000000,243.0000000000
1977.0602356630,1.0000000000,0.0000000000,0.0000000000,187.0000000000
1977.0629736477,0.0000000000,0.0000000000,0.0000000000,284.0000000000
1977.0657116323,0.0000000000,0.0000000000,0.0000000000,274.0000000000
1977.0684496170,0.0000000000,0.0000000000,0.0000000000,311.0000000000
1977.0711876017,0.0000000000,0.0000000000,0.0000000000,270.0000000000
1977.0739255864,0.0000000000,0.0000000000,0.0000000000,264.0000000000
1977.0766635711,1.0000000000,0.0000000000,0.0000000000,220.0000000000
1977.0794015557,1.0000000000,0.0000000000,0.0000000000,219.0000000000
1977.0821395404,0.0000000000,0.0000000000,0.0000000000,263.0000000000
1977.0848775251,0.0000000000,0.0000000000,0.0000000000,271.0000000000
1977.0876155098,0.0000000000,0.0000000000,0.0000000000,305.0000000000
1977.0903534945,0.0000000000,0.0000000000,0.0000000000,283.0000000000
1977.0930914791,0.0000000000,0.0000000000,0.0000000000,269.0000000000
1977.0958294638,1.0000000000,0.0000000000,0.0000000000,229.0000000000
1977.0985674485,1.0000000000,0.0000000000,0.0000000000,222.0000000000
1977.1013054332,0.0000000000,0.0000000000,0.0000000000,281.0000000000
1977.1040434179,0.0000000000,0.0000000000,0.0000000000,277.0000000000
1977.1067814025,0.0000000000,0.0000000000,0.0000000000,265.0000000000
1977.1095193872,0.0000000000,0.0000000000,0.0000000000,282.0000000000
1977.1122573719,0.0000000000,0.0000000000,0.0000000000,271.0000000000
1977.1149953566,1.0000000000,0.0000000000,0.0000000000,242.0000000000
1977.1177333413,1.0000000000,0.0000000000,0.0000000000,212.0000000000
1977.1204713259,0.0000000000,0.0000000000,0.0000000000,268.0000000000
1977.1232093106,0.0000000000,0.0000000000,0.0000000000,279.0000000000
1977.1259472953,0.0000000000,0.0000000000,0.0000000000,272.0000000000
1977.1286852800,0.0000000000,0.0000000000,0.0000000000,252.0000000000
1977.1314232647,0.0000000000,0.0000000000,0.0000000000,294.0000000000
1977.1341612493,1.0000000000,0.0000000000,0.0000000000,235.0000000000
1977.1368992340,1.0000000000,0.0000000000,0.0000000000,202.0000000000
1977.1396372187,0.0000000000,0.0000000000,0.0000000000,268.0000000000
1977.1423752034,0.0000000000,0.0000000000,0.0000000000,295.0000000000
1977.1451131881,0.0000000000,0.0000000000,0.0000000000,314.0000000000
1977.1478511727,0.0000000000,0.0000000000,0.0000000000,279.0000000000
1977.1505891574,0.0000000000,0.0000000000,0.0000000000,314.0000000000
1977.1533271421,1.0000000000,0.0000000000,0.0000000000,239.0000000000
1977.1560651268,1.0000000000,0.0000000000,0.0000000000,236.0000000000
1977.1588031115,0.0000000000,0.0000000000,0.0000000000,290.0000000000
1977.1615410961,0.0000000000,0.0000000000,0.0000000000,307.0000000000
1977.1642790808,0.0000000000,0.0000000000,0.0000000000,303.0000000000
1977.1670170655,0.0000000000,0.0000000000,0.0000000000,300.0000000000
1977.1697550502,0.0000000000,0.0000000000,0.0000000000,275.0000000000
1977.1724930349,1.0000000000,0.0000000000,0.0000000000,253.0000000000
1977.1752310195,1.0000000000,0.0000000000,0.0000000000,204.0000000000
1977.1779690042,0.0000000000,0.0000000000,0.0000000000,294.0000000000
1977.1807069889,0.0000000000,0.0000000000,0.0000000000,305.0000000000
1977.1834449736,0.0000000000,0.0000000000,0.0000000000,318.0000000000
1977.1861829583,0.0000000000,0.0000000000,0.0000000000,281.0000000000
1977.1889209430,0.0000000000,0.0000000000,0.0000000000,295.0000000000
1977.1916589276,1.0000000000,0.0000000000,0.0000000000,251.0000000000
1977.1943969123,1.0000000000,0.0000000000,0.0000000000,226.0000000000
1977.1971348970,0.0000000000,0.0000000000,0.0000000000,286.0000000000
1977.1998728817,0.0000000000,0.0000000000,0.0000000000,309.0000000000
1977.2026108664,0.0000000000,0.0000000000,0.0000000000,319.0000000000
1977.2053488510,0.0000000000,0.0000000000,0.0000000000,311.0000000000
1977.2080868357,0.0000000000,0.0000000000,0.0000000000,294.0000000000
1977.2108248204,1.0000000000,0.0000000000,0.0000000000,266.0000000000
1977.2135628051,1.0000000000,0.0000000000,0.0000000000,221.0000000000
1977.2163007898,0.0000000000,0.0000000000,0.0000000000,294.0000000000
1977.2190387744,0.0000000000,0.0000000000,0.0000000000,301.0000000000
1977.2217767591,0.0000000000,0.0000000000,0.0000000000,288.0000000000
1977.2245147438,0.0000000000,0.0000000000,0.0000000000,301.0000000000
1977.2272527285,0.0000000000,0.0000000000,0.0000000000,289.0000000000
1977.2299907132,1.0000000000,0.0000000000,0.0000000000,258.0000000000
1977.2327286978,1.0000000000,0.0000000000,0.0000000000,217.0000000000
1977.2354666825,0.0000000000,0.0000000000,0.0000000000,237.0000000000
1977.2382046672,0.0000000000,0.0000000000,0.0000000000,311.0000000000
1977.2409426519,0.0000000000,0.0000000000,0.0000000000,260.0000000000
1977.2436806366,0.0000000000,0.0000000000,0.0000000000,308.0000000000
1977.2464186212,0.0000000000,0.0000000000,0.0000000000,316.0000000000
